Flow idx, Flow, jumps_raw min, jumps_raw 25, jumps_raw 50, jumps_raw 75, jumps_raw max, jumps_raw std, jumps min, jumps 25, jumps 50, jumps 75, jumps max, jumps std
     172,   O0,    -218,          5.00,         14.00,         27.00,     808,         36.91,    -225,         -1.00,          7.00,         20.00,     805,         36.66
     173,   C0,    -734,        -99.00,        -46.00,        -25.00,     166,         61.25,    -708,        -83.00,        -29.00,         -8.00,     174,         61.03
     174,   O0,    -146,         18.00,         42.00,        102.00,     788,         68.00,    -155,         10.00,         34.00,         94.00,     776,         67.81
     175,   A0,    -711,        -81.00,        -39.00,        -22.00,     186,         59.91,    -695,        -64.00,        -22.00,         -5.00,     200,         59.66
     176,   O0,    -181,         18.00,         36.00,         81.00,     744,         62.28,    -191,          7.00,         26.00,         70.00,     739,         62.09
     177,   T0,    -795,        -75.00,        -38.00,        -22.00,     280,         59.31,    -782,        -56.00,        -18.00,         -3.00,     304,         59.03
     178,   O0,    -226,         25.00,         42.00,         85.00,     810,         65.38,    -248,          7.00,         23.00,         66.00,     792,         65.19
     179,   G0,    -649,        -78.00,        -37.00,        -20.00,     235,         53.66,    -629,        -64.00,        -22.00,         -5.00,     248,         53.41
     180,   O0,    -164,         15.00,         33.00,         78.00,     654,         56.38,    -169,          7.00,         26.00,         71.00,     646,         56.16
     181,   C0,    -719,        -83.00,        -37.00,        -19.00,     197,         56.47,    -704,        -69.00,        -23.00,         -5.00,     205,         56.25
     182,   O0,    -197,         17.00,         37.00,         89.00,     804,         62.69,    -211,          8.00,         28.00,         80.00,     793,         62.47
     183,   B0,    -215,        -13.00,         -6.00,          0.00,     147,         10.51,    -209,         -5.00,          1.00,          7.00,     155,          9.79
     184,   O0,    -244,         -5.00,          2.00,          9.00,     204,         10.52,    -246,         -6.00,          1.00,          7.00,     207,          9.80
     185,   X0,    -391,        -15.00,         -8.00,         -1.00,     183,         10.39,    -382,         -7.00,         -1.00,          5.00,     188,          9.67
     186,   Z0,       0,          0.00,          0.00,          0.00,       0,          0.00,       0,          0.00,          0.00,          0.00,       0,          0.00
     187,   J0,    -171,         -3.00,          3.00,         10.00,     252,         10.45,    -175,         -5.00,          2.00,          8.00,     257,          9.66
     188,  JB0,    -230,        -10.00,         -4.00,          2.00,     294,         10.07,    -228,         -6.00,          0.00,          6.00,     297,          9.37
     189,  JO0,    -264,          4.00,         11.00,         18.00,     212,         10.70,    -276,         -4.00,          3.00,          9.00,     205,          9.98
     190,   B0,    -205,        -12.00,         -6.00,          0.00,     388,         10.09,    -201,         -7.00,         -1.00,          5.00,     394,          9.38
     191,   O0,    -978,          2.00,          8.00,         15.00,     319,         10.52,    -985,         -5.00,          1.00,          7.00,     313,          9.72
     192,   A0,    -692,        -70.00,        -35.00,        -19.00,     954,         55.47,    -672,        -56.00,        -21.00,         -6.00,     967,         55.16
     193,   O0,    -148,         19.00,         35.00,         71.00,     699,         56.66,    -153,          6.00,         21.00,         58.00,     686,         56.50
     194,   G0,    -713,        -42.00,        -22.00,        -11.00,     165,         41.66,    -704,        -30.00,        -10.00,          1.00,     172,         41.38
     195,   O0,    -421,         12.00,         24.00,         47.00,     721,         44.44,    -433,          3.00,         14.00,         37.00,     711,         44.22
     196,   T0,    -795,       -111.00,        -56.00,        -33.00,     346,         67.31,    -781,        -87.00,        -32.00,         -9.00,     368,         66.94
     197,   O0,    -173,         29.00,         55.00,        116.00,     803,         73.38,    -189,         12.00,         38.00,         99.00,     793,         73.12
     198,   G0,    -580,        -32.00,        -18.00,         -9.00,     259,         35.69,    -565,        -19.00,         -6.00,          3.00,     271,         35.41
     199,   O0,    -210,         10.00,         19.00,         34.00,     614,         37.66,    -219,          0.00,          9.00,         23.00,     601,         37.44
     200,   A0,    -759,        -52.00,        -29.00,        -18.00,     237,         48.09,    -748,        -35.00,        -12.00,         -1.00,     252,         47.81
     201,   O0,    -151,         14.00,         26.00,         50.00,     688,         49.72,    -152,          3.00,         15.00,         38.00,     683,         49.50
     202,   C0,    -736,       -107.00,        -48.00,        -22.00,     181,         62.75,    -726,        -94.00,        -36.00,        -10.00,     182,         62.53
     203,   O0,    -286,         22.00,         52.00,        117.00,     772,         69.50,    -294,         13.00,         43.00,        109.00,     764,         69.31
     204,   T0,    -793,        -70.00,        -37.00,        -23.00,     285,         55.47,    -770,        -50.00,        -16.00,         -3.00,     304,         55.12
     205,   O0,    -171,         19.00,         34.00,         71.00,     814,         60.50,    -189,          6.00,         20.00,         57.00,     804,         60.28
     206,   G0,    -805,        -73.00,        -36.00,        -19.00,     143,         51.00,    -792,        -60.00,        -23.00,         -6.00,     158,         50.75
     207,   O0,    -290,         16.00,         33.00,         71.00,     629,         51.94,    -302,          7.00,         24.00,         62.00,     617,         51.75
     208,   A0,    -674,        -66.00,        -33.00,        -18.00,     295,         52.31,    -658,        -51.00,        -17.00,         -3.00,     311,         52.06
     209,   O0,    -223,         18.00,         34.00,         70.00,     668,         54.19,    -230,          6.00,         21.00,         57.00,     654,         54.00
     210,   T0,    -780,        -57.00,        -33.00,        -21.00,     243,         48.47,    -760,        -37.00,        -13.00,         -1.00,     258,         48.16
